ESCOLA;REDE;BAIRRO;LAT;LONG;IDEB
EMEF GOV LEONEL DE MOURA BRIZOLA;Municipal;São José;-29.8827806;-51.1512837;4
EMEF PAULO FREIRE;Municipal;;-29.890795;-51.128923;3.5
ESC EST ENS MED ERICO VERISSIMO;Estadual;;-29.9045692;-51.1663098;2
ESC EST ENS MED VISCONDE DO RIO BRANCO;Estadual;Rio Branco;-29.9599135;-51.1879344;5
EMEF ASSIS BRASIL;Municipal;;-29.9343714;-51.1977556;2.7
